timestamp,open,high,low,close,volume
2014-06-26,258.0000,260.0730,254.5450,255.1450,730274
2014-06-25,261.4550,261.5550,257.4820,258.1550,496947
2014-06-24,258.3730,262.7270,257.7270,261.5640,702070
2014-06-23,254.3640,257.9450,254.2000,256.9550,824571
2014-06-20,257.2730,259.0910,253.5820,254.3270,802940
2014-06-19,260.5450,261.1730,254.1820,256.6360,1089742
2014-06-18,263.6360,264.9090,256.8640,258.2550,1125058
2014-06-17,257.4550,263.9090,255.8180,263.4730,988939
2014-06-16,259.6360,259.7450,254.9270,257.3910,1138616
2014-06-13,267.4550,268.9820,258.7270,259.9180,1571631
2014-06-12,268.7090,268.7090,263.3640,265.4360,845026
2014-06-11,269.2730,272.9090,265.4640,266.9450,1146409
2014-06-10,271.0910,271.3550,267.9090,269.3180,756195
2014-06-09,270.9090,274.5450,268.7450,270.2910,1475342
2014-06-06,267.4550,272.9090,265.4550,269.4090,1493817
2014-06-05,263.6910,267.2730,261.2730,265.6270,1124277
2014-06-04,265.8180,269.8730,262.7000,267.1270,1149247
2014-06-03,265.8910,268.6000,262.1000,265.1360,1073364
2014-06-02,257.0910,266.9090,256.4360,265.8910,2170030
2014-05-30,261.8180,263.1820,255.6360,257.8910,614603
2014-05-29,264.7270,266.9090,259.4730,261.4270,681928
2014-05-28,263.2730,267.0640,261.9910,264.7550,774868
2014-05-27,263.3820,264.6910,259.6360,263.1820,804012
2014-05-26,266.5450,272.1820,262.3640,264.1000,1321084
2014-05-23,264.9090,267.2550,262.7270,265.5910,908606
2014-05-22,262.5090,269.8000,262.3640,263.8820,1329702
2014-05-21,263.6820,265.1180,258.6360,261.7000,975634
2014-05-20,269.0910,270.4000,262.0360,263.5270,1369858
2014-05-19,270.4180,271.6180,263.2910,267.4730,1832292
2014-05-16,261.0910,289.1550,257.6910,266.3270,5140790
2014-05-15,256.3640,256.3640,251.4180,253.2910,1382909
2014-05-14,254.3450,257.0730,250.3640,256.3000,1509063
2014-05-13,256.9270,259.4550,253.5000,255.0270,1748725
2014-05-12,250.5910,257.0640,248.1820,254.4090,3114430
2014-05-09,234.5450,252.3640,232.9730,249.9730,2848384
2014-05-08,231.2730,235.7730,230.2090,234.4360,882261
2014-05-07,231.6180,232.0000,228.6730,231.3640,930353
2014-05-06,229.1090,232.5450,229.1090,231.7360,806124
2014-05-05,228.0000,232.2270,225.2450,228.0270,892205
2014-05-02,227.6360,229.8180,226.9180,227.6000,976806
2014-04-30,229.4550,232.5360,224.5450,226.3270,1387925
2014-04-29,231.8180,232.1450,227.5090,229.4640,735796
2014-04-28,230.9090,233.4090,227.4450,231.6090,1474550
2014-04-25,236.3640,239.6090,228.7640,230.7820,2288638
2014-04-24,236.1910,236.1910,236.1910,236.1910,0
2014-04-23,232.0000,237.1450,232.0000,236.1910,1113084
2014-04-22,232.9090,235.6180,230.9640,234.1640,1473280
2014-04-21,230.0000,234.7550,228.7090,233.0090,1340444
2014-04-17,224.7730,231.4550,223.1270,229.4550,1970931
2014-04-16,221.2180,224.9000,220.9090,222.2360,822360
2014-04-15,224.7910,225.5640,220.8000,221.4640,513546
2014-04-11,225.0910,225.6550,223.1000,224.6360,1221226
2014-04-10,227.4550,230.7180,225.3270,226.5730,1170702
2014-04-09,220.0000,229.5180,220.0000,229.0090,1060164
2014-04-07,222.7270,230.7270,216.7270,219.8270,524755
2014-04-04,224.0000,226.3270,221.0450,223.7000,1872305
2014-04-03,225.8450,226.0090,222.8360,224.5820,2479186
2014-04-02,223.8180,227.4550,223.8180,225.9180,1722166
2014-04-01,226.3640,228.8180,221.6550,222.5090,1524078
2014-03-31,230.9360,231.2820,225.6360,226.4450,724867
2014-03-28,230.1820,230.9090,227.2730,228.8640,1288854
2014-03-27,227.8640,231.4360,226.6360,229.0000,2381000
2014-03-26,230.0550,230.6180,227.5450,228.5270,1504960
2014-03-25,225.3450,228.8550,224.3640,227.7360,1462291
2014-03-24,219.0000,226.9090,219.0000,225.8910,2818040
2014-03-22,0.0000,0.0000,0.0000,0.0000,0
2014-03-21,219.9550,220.5450,217.0450,218.0000,2884052
2014-03-20,219.2730,221.6360,217.6360,218.3450,1418901
2014-03-19,220.0000,222.3640,218.7270,220.0450,1438948
2014-03-18,220.4000,223.8180,218.1450,219.0550,1080552
2014-03-14,218.7270,221.5820,216.0820,220.6820,1967295
2014-03-13,220.1270,225.6820,220.0000,221.5000,2036364
2014-03-12,216.7730,222.3640,215.0910,220.1360,1949519
2014-03-11,217.2730,223.9820,216.5730,217.9000,3031435
2014-03-10,214.9090,220.7640,214.9090,217.0550,2240326
2014-03-07,206.5450,223.7180,206.5450,218.4180,4108770
2014-03-06,200.5820,207.1640,200.5820,206.1180,1667727
2014-03-05,195.0910,200.0000,193.8000,199.4820,1284652
2014-03-04,187.8640,194.9090,187.8640,194.2360,1228579
2014-03-03,188.9820,191.0180,185.8640,187.2090,808946
2014-02-28,189.1820,190.5450,187.4450,189.7640,711392
2014-02-26,188.0000,189.0730,186.9180,188.4360,460917
2014-02-25,189.1360,190.6910,186.3820,187.4000,1086151
2014-02-24,185.6360,189.4550,185.1640,188.4000,1069436
2014-02-21,184.3180,187.7550,184.1450,186.3180,1257778
2014-02-20,184.7270,185.7000,183.0180,183.3550,594748
